Direction_ID,Travel_ID,Current_Status,Vehicle ID,Latitude,Line_ID,Longitude,Pattern_ID,Route_ID,schedule_relationship,Shift_ID,Speed,Stop_ID,Timestamp,Trip_ID,Datetime,Date,Time,Day,Workday,Color_ID,Operator,Source,District
0,VER_DU_VU1049,Stationed,43|2344,38.624427795410156,3103,-9.121794700622559,3103_0_2,3103_0,SCHEDULED,VU1050,0.0,140299,1753780626,3103_0_2_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:17:06,2025-07-29,09:17:06,Tuesday,True,Red Line,CM,CM,Cruz de Pau
132,3581-13,Stationed,42|2208,38.81614685058594,2821,-9.162202835083008,2821_0_1,2821_0,SCHEDULED,3628,0.2777777777777778,072975,1753780620,2821_0_1|1|3|1005_HUAG2,2025-07-29 09:17:00,2025-07-29,09:17:00,Tuesday,True,Red Line,CM,CM,Urbanização do Almirante
343,20250729-64810399-313200234560,In Transit,44|12699,38.67726516723633,4725,-9.174001693725586,4725_0_2,4725_0,SCHEDULED,313200234560,1.3888888888888888,060021,1753780624,4725_0_2|3700|0930_PYPHK,2025-07-29 09:17:04,2025-07-29,09:17:04,Tuesday,True,Yellow Line,CM,CM,Pragal
112,3040-13,In Transit,42|2109,38.78023147583008,2725,-9.101868629455566,2725_0_1,2725_0,SCHEDULED,3040,4.166666666666667,071313,1753780578,2725_0_1|1|3|1000_HUAG2,2025-07-29 09:16:18,2025-07-29,09:16:18,Tuesday,True,Red Line,CM,CM,Jardins do Cristo Rei
99,VER_DU_VU2038,Stationed,43|2231,38.63962173461914,3024,-9.182228088378906,3024_0_1,3024_0,SCHEDULED,VU2038,0.5555555555555556,020717,1753780626,3024_0_1_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:17:06,2025-07-29,09:17:06,Tuesday,True,Red Line,CM,CM,Cerieira
193,VER_DU_VU1011,In Transit,43|2338,38.62101745605469,3508,-9.099014282226562,3508_0_2,3508_0,SCHEDULED,VU1106,4.444444444444445,140049,1753780605,3508_0_2_0930_0959_1_VER_DU_G9Q68,2025-07-29 09:16:45,2025-07-29,09:16:45,Tuesday,True,Red Line,CM,CM,Arrentela
162,VER_DU_VU2104,In Transit,43|2256,38.71357345581055,3703,-9.175926208496094,3703_0_2,3703_0,SCHEDULED,VU2104,12.777777777777777,060397,1753780595,3703_0_2_1000_1029_0_VER_DU_G9Q68,2025-07-29 09:16:35,2025-07-29,09:16:35,Tuesday,True,Red Line,CM,CM,Campolide
344,VER_DU_VU1067,In Transit,43|2372,38.637699127197266,3113,-9.100483894348145,3113_0_1,3113_0,SCHEDULED,VU1067,5.0,140066,1753780614,3113_0_1_1000_1029_0_VER_DU_G9Q68,2025-07-29 09:16:54,2025-07-29,09:16:54,Tuesday,True,Blue Line,CM,CM,Arrentela
152,7_7756-13,Stationed,41|1382,38.84701919555664,1633,-9.378162384033203,1633_0_1,1633_0,SCHEDULED,7789,0.0,170024,1753780619,1633_0_1_0930_0959_0_7_21NBI,2025-07-29 09:16:59,2025-07-29,09:16:59,Tuesday,True,Red Line,CM,CM,Terrugem
351,VER_DU_VU3053,In Transit,43|2613,38.54971694946289,3547,-9.080093383789062,3547_0_2,3547_0,SCHEDULED,VU3002,11.666666666666666,150540,1753780622,3547_0_2_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:17:02,2025-07-29,09:17:02,Tuesday,True,Red Line,CM,CM,Quinta do Conde
350,VER_DU_VU2105,Approaching,43|2278,38.67412567138672,3009,-9.231465339660645,3009_0_1,3009_0,SCHEDULED,VU2142,0.0,020385,1753780572,3009_0_1_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:16:12,2025-07-29,09:16:12,Tuesday,True,Red Line,CM,CM,Bairro do Primeiro Torrão
242,7_7755-13,Stationed,41|1217,38.783294677734375,1631,-9.345802307128906,1631_0_2,1631_0,SCHEDULED,7755,0.0,171135,1753780618,1631_0_2_1000_1029_0_7_21NBI,2025-07-29 09:16:58,2025-07-29,09:16:58,Tuesday,True,Red Line,CM,CM,São Carlos
73,3724-13,In Transit,42|2586,38.826942443847656,2039,-9.162020683288574,2039_0_1,2039_0,SCHEDULED,3773,8.333333333333334,070435,1753780568,2039_0_1|1|3|0935_HUAG2,2025-07-29 09:16:08,2025-07-29,09:16:08,Tuesday,True,Red Line,CM,CM,Bairro Almoínhas
187,7_7303-13,In Transit,41|1402,38.706729888916016,1622,-9.338727951049805,1622_0_1,1622_0,SCHEDULED,7303,16.38888888888889,050141,1753780618,1622_0_1_0930_0959_0_7_21NBI,2025-07-29 09:16:58,2025-07-29,09:16:58,Tuesday,True,Red Line,CM,CM,Cabeço de Mouro
201,3090-13'_001,In Transit,42|2303,38.8193359375,2722,-9.098854064941406,2722_0_2,2722_0,SCHEDULED,3281,8.333333333333334,070743,1753780625,2722_0_2|1|3|0955_HUAG2,2025-07-29 09:17:05,2025-07-29,09:17:05,Tuesday,True,Red Line,CM,CM,Vale de Figueira
