Line_ID,Color_ID,Operator 
1637,Red Line,CM
1638,Red Line,CM
1703,Red Line,CM
1704,Red Line,CM
1706,Red Line,CM
1707,Red Line,CM
1708,Red Line,CM
1709,Red Line,CM
1710,Red Line,CM
1711,Red Line,CM
1712,Red Line,CM
1713,Red Line,CM
1714,Red Line,CM
1715,Red Line,CM
1716,Red Line,CM
1717,Red Line,CM
1718,Red Line,CM
1719,Red Line,CM
1720,Red Line,CM
1721,Red Line,CM
1722,Red Line,CM
1723,Red Line,CM
1724,Red Line,CM
1725,Red Line,CM
1726,Red Line,CM
1728,Red Line,CM
1729,Red Line,CM
1730,Red Line,CM
1731,Red Line,CM
1701,Red Line,CM
1733,Red Line,CM
1740,Red Line,CM
1741,Red Line,CM
1998,Green Line,CM
1999,Green Line,CM
2002,Red Line,CM
2003,Red Line,CM
2004,Blue Line,CM
2006,Blue Line,CM
2008,Blue Line,CM
2011,Red Line,CM
2013,Red Line,CM
2014,Red Line,CM
2015,Red Line,CM
2016,Blue Line,CM
2017,Red Line,CM
2020,Blue Line,CM
2021,Red Line,CM
2026,Blue Line,CM
2027,Red Line,CM
2028,Red Line,CM
2029,Blue Line,CM
2030,Blue Line,CM
2031,Blue Line,CM
2032,Red Line,CM
2034,Blue Line,CM
2035,Red Line,CM
2036,Blue Line,CM
2037,Red Line,CM
2038,Red Line,CM
2039,Red Line,CM
2101,Red Line,CM
2102,Red Line,CM
2103,Red Line,CM
2104,Red Line,CM
2105,Red Line,CM
2106,Red Line,CM
2107,Red Line,CM
2108,Red Line,CM
2109,Red Line,CM
2110,Red Line,CM
2111,Red Line,CM
2112,Red Line,CM
2113,Red Line,CM
2114,Red Line,CM
2115,Red Line,CM
2116,Red Line,CM
2117,Red Line,CM
2118,Red Line,CM
2119,Red Line,CM
2120,Red Line,CM
2121,Red Line,CM
2122,Red Line,CM
2123,Red Line,CM
2124,Blue Line,CM
2125,Blue Line,CM
2126,Blue Line,CM
2127,Red Line,CM
2128,Red Line,CM
2129,Red Line,CM
2130,Red Line,CM
2131,Red Line,CM
2132,Red Line,CM
2133,Red Line,CM
2134,Red Line,CM
2135,Red Line,CM
2136,Red Line,CM
2137,Red Line,CM
2138,Red Line,CM
2139,Red Line,CM
2140,Red Line,CM
2141,Red Line,CM
2142,Blue Line,CM
2143,Red Line,CM
