trip_trip_id,trip_schedule_relationship,trip_route_id,trip_direction_id,position_latitude,position_longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,vehicle_license_plate,entity_id
6138_20250401_169_0_14,0,169_0,1,38.72237015,-9.200779915,6,2,1747481069,14311,2665,87-XB-33,2665_748
48781_20250401_75_8_16,0,75_8,1,38.71382141,-9.16108036,14,2,1747481073,8112,272,AH-26-IN,272_28E
6635_20250401_118_0_10,0,118_0,0,38.75605011,-9.119150162,18,2,1747481043,8426,2645,87-VS-49,2645_755
35053_20250401_244_0_9,0,244_0,0,38.74250031,-9.158379555,3,2,1747481053,50539,2983,30-VM-08,2983_52B
48782_20250401_75_8_14,0,75_8,0,38.71334839,-9.159199715,6,2,1747480931,8111,262,AF-49-ZD,262_28E
35089_20250401_219_0_8,0,219_0,0,38.71403122,-9.20596981,15,2,1747481050,12906,276,AH-12-TB,276_76B
18825_20250401_199_0_9,0,199_0,0,38.73598099,-9.145270348,7,2,1747481046,1807,4635,90-JI-95,4635_736
35076_20250401_238_0_12,0,238_0,0,38.71636963,-9.167920113,17,2,1747481048,8007,274,AH-14-TB,274_64B
4059_20250401_143_0_10,0,143_0,1,38.73522949,-9.140729904,22,2,1747481070,11102,2742,AG-94-TG,2742_720
35097_20250401_227_0_11,0,227_0,0,38.74757004,-9.167449951,3,2,1747481063,12703,256,AF-57-RM,256_58B
4252_20250401_197_2_14,0,197_2,1,38.79019928,-9.123080254,3,2,1747481074,50178,2608,66-VI-39,2608_725
6716_20250401_175_0_12,0,175_0,0,38.7389183,-9.123250008,0,2,1747481048,,2731,AG-49-EI,2731_756
3944_20250401_105_0_12,0,105_0,0,38.74407959,-9.101320267,11,2,1747481058,12524,2631,52-VP-80,2631_718
5702_20250401_114_0_8,0,114_0,0,38.73754883,-9.143670082,22,2,1747481073,11118,2735,AG-37-EI,2735_742
35096_20250401_221_0_9,0,221_0,0,38.69625092,-9.219949722,1,2,1747481073,4210,282,AI-47-OJ,282_79B
3955_20250401_105_0_11,0,105_0,1,38.74489975,-9.103079796,22,2,1747481049,12523,2625,72-VP-79,2625_718
7344_20250401_111_2_8,0,111_2,1,38.74398041,-9.167730331,32,2,1747481070,1603,2274,76-79-ZG,2274_768
6095_20250401_177_0_13,0,177_0,1,38.76654816,-9.178770065,11,2,1747481048,12830,2402,50-AL-13,2402_747
7252_20250401_112_0_5,0,112_0,0,38.75252914,-9.206999779,40,2,1747481063,50386,2443,29-AX-05,2443_767
4040_20250401_143_0_8,0,143_0,0,38.74224854,-9.132719994,6,2,1747481057,301,2490,55-BH-01,2490_720
8033_20250401_115_0_9,0,115_0,1,38.75559998,-9.11289978,9,2,1747481059,24368,1701,39-AB-08,1701_794
7080_20250401_171_0_2,0,171_0,1,38.7132988,-9.136449814,33,2,1747481053,913,6044,BG-87-LX,6044_760
4493_20250401_103_0_7,0,103_0,0,38.7260704,-9.150300026,13,2,1747481070,1206,2780,AI-06-BT,2780_727
