Line_ID,Color_ID,Operator,Current_Status,Latitude,Longitude,Speed,Stop_ID,District,Date,Time,Day,Workday
1510,Blue Line,CM,In Transit,38.76023864746094,-9.240575790405273,1.9444444444444444,030475,Venteira,2025-05-20,14:34:00,Tuesday,True
1608,Red Line,CM,Approaching,38.69105529785156,-9.319357872009277,4.722222222222222,120829,Nova Oeiras,2025-05-20,14:33:59,Tuesday,True
1707,Red Line,CM,Approaching,38.77851867675781,-9.233837127685547,7.222222222222222,030792,Moinhos da Funcheira,2025-05-20,14:34:14,Tuesday,True
4725,Yellow Line,CM,In Transit,38.57974624633789,-9.043781280517578,24.166666666666664,160027,Quinta do Conde,2025-05-20,14:34:07,Tuesday,True
1622,Red Line,CM,In Transit,38.72420120239258,-9.336125373840332,7.777777777777778,050124,Abóboda,2025-05-20,14:33:38,Tuesday,True
1235,Red Line,CM,In Transit,38.827457427978516,-9.277872085571289,7.777777777777778,170344,Sintra,2025-05-20,14:34:01,Tuesday,True
4307,Red Line,CM,In Transit,38.57698440551758,-8.874221801757812,0.8333333333333333,130009,Cabeço do Velhinho,2025-05-20,14:34:07,Tuesday,True
4621,Red Line,CM,Stationed,38.58135986328125,-9.044170379638672,0.0,040119,Unknown,2025-05-20,14:34:13,Tuesday,True
1516,Red Line,CM,Approaching,38.803165435791016,-9.228418350219727,8.61111111111111,171557,Portela de Cambra,2025-05-20,14:32:48,Tuesday,True
4602,Red Line,CM,In Transit,38.65666961669922,-9.056931495666504,12.5,040005,Verderena,2025-05-20,14:34:07,Tuesday,True
1248,Red Line,CM,Stationed,38.81411361694336,-9.385851860046387,3.888888888888889,171716,Várzea de Sintra,2025-05-20,14:34:10,Tuesday,True
4600,Red Line,CM,In Transit,38.67664337158203,-8.968914985656738,15.555555555555555,100421,Novo Jaime,2025-05-20,14:34:06,Tuesday,True
4321,Red Line,CM,In Transit,38.623504638671875,-8.913735389709473,11.666666666666666,130369,Pinhal Novo,2025-05-20,14:34:06,Tuesday,True
4403,Blue Line,CM,Approaching,38.548004150390625,-8.898385047912598,4.166666666666667,160073,Amoreiras,2025-05-20,14:34:07,Tuesday,True
4725,Yellow Line,CM,In Transit,38.59341049194336,-9.07022476196289,28.055555555555554,160027,Flor da Mata,2025-05-20,14:34:05,Tuesday,True
4503,Red Line,CM,In Transit,38.70677185058594,-8.927236557006836,9.166666666666666,100289,Urbanização dos Cruzeiros,2025-05-20,14:34:07,Tuesday,True
4600,Red Line,CM,In Transit,38.70012664794922,-8.95747184753418,0.5555555555555556,100008,Bairro da Bela Vista,2025-05-20,14:34:09,Tuesday,True
1714,Red Line,CM,In Transit,38.74909973144531,-9.233799934387207,0.0,030515,Venteira,2025-05-20,14:33:41,Tuesday,True
4544,Red Line,CM,In Transit,38.538047790527344,-8.844758033752441,1.3888888888888888,160395,Gâmbia-Pontes-Alto da Guerra,2025-05-20,14:34:07,Tuesday,True
4524,Red Line,CM,In Transit,38.63330078125,-8.743120193481445,0.0,130160,Palmela,2025-05-20,14:34:07,Tuesday,True
1245,Red Line,CM,In Transit,38.80402755737305,-9.381339073181152,7.222222222222222,171315,Estefânea,2025-05-20,14:34:02,Tuesday,True
1522,Red Line,CM,In Transit,38.72004699707031,-9.234864234924316,12.5,120397,Nova Carnaxide,2025-05-20,14:34:13,Tuesday,True
2223,Red Line,CM,Stationed,38.80354690551758,-9.211747169494629,0.2777777777777778,110615,Bairro dos Quatro,2025-05-20,14:34:10,Tuesday,True
3022,Red Line,CM,In Transit,38.680362701416016,-9.155985832214355,4.166666666666667,020047,Cova da Piedade,2025-05-20,14:33:39,Tuesday,True
3026,Blue Line,CM,Approaching,38.67312240600586,-9.175352096557617,5.555555555555555,021064,Pragal,2025-05-20,14:33:56,Tuesday,True
1509,Red Line,CM,In Transit,38.792118072509766,-9.231576919555664,4.444444444444445,030641,Urbanização Moinho do Guizo,2025-05-20,14:34:05,Tuesday,True
3615,Red Line,CM,In Transit,38.623741149902344,-9.077563285827637,15.833333333333332,140020,Casal de Santo António,2025-05-20,14:34:08,Tuesday,True
1254,Red Line,CM,In Transit,38.80382537841797,-9.42735481262207,16.11111111111111,171356,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2025-05-20,14:33:57,Tuesday,True
2006,Blue Line,CM,In Transit,38.90848922729492,-9.125563621520996,12.222222222222221,070141,Quinta das Murgas,2025-05-20,14:34:00,Tuesday,True
3635,Red Line,CM,In Transit,38.56020736694336,-9.035750389099121,5.277777777777778,150007,Quinta do Conde,2025-05-20,14:34:16,Tuesday,True
3222,Blue Line,CM,In Transit,38.56993865966797,-9.038021087646484,6.944444444444445,150017,Quinta do Conde,2025-05-20,14:33:54,Tuesday,True
1234,Red Line,CM,Approaching,38.78251266479492,-9.30086898803711,0.0,171204,Agualva,2025-05-20,14:34:16,Tuesday,True
3508,Red Line,CM,In Transit,38.63441848754883,-9.143598556518555,12.5,140137,Quinta das Lagoas,2025-05-20,14:34:09,Tuesday,True
1704,Red Line,CM,Stationed,38.723331451416016,-9.166430473327637,0.0,060450,Campolide,2025-05-20,14:34:14,Tuesday,True
3620,Red Line,CM,In Transit,38.56804275512695,-9.04819393157959,6.388888888888888,150023,Quinta do Conde,2025-05-20,14:33:43,Tuesday,True
1124,Blue Line,CM,Approaching,38.694061279296875,-9.29645824432373,8.88888888888889,120885,Bairro Comandante Joaquim Matias,2025-05-20,14:34:05,Tuesday,True
1631,Red Line,CM,In Transit,38.78008270263672,-9.349725723266602,0.2777777777777778,170131,Vale Flores,2025-05-20,14:34:07,Tuesday,True
2722,Red Line,CM,Stationed,38.80579376220703,-9.101369857788086,0.0,071293,"Santa Iria de Azoia, São João da Talha e Bobadela",2025-05-20,14:33:58,Tuesday,True
2030,Blue Line,CM,Approaching,38.79711151123047,-9.116659164428711,13.055555555555555,070613,Quinta do Mocho,2025-05-20,14:33:44,Tuesday,True
2725,Red Line,CM,Stationed,38.82889175415039,-9.166815757751465,0.0,070032,Bairro Almoínhas,2025-05-20,14:34:08,Tuesday,True
